ID,Gender,Age,Occupation,Vintage,Credit_Product,Avg_Account_Balance,Is_Active,Is_Lead
NZDGI5CB,Male,39,Salaried,45,Yes,1383852,Yes,1
AXBUBZA2,Female,84,Other,32,,1455239,No,1
SFMWRHFS,Male,44,Self_Employed,87,No,2189471,Yes,0
5WTCQM8T,Male,51,Self_Employed,15,No,728865,Yes,0
XZWKJXSE,Male,59,Self_Employed,116,No,687560,Yes,0
XYCQGKBF,Male,42,Self_Employed,20,No,705618,No,0
5UHQSVBQ,Male,55,Self_Employed,111,No,309355,Yes,0
RVJ8EHSD,Male,28,Self_Employed,14,No,1656290,Yes,0
NEQYSKOH,Female,29,Salaried,33,No,576835,No,0
YJVRXE3J,Male,44,Self_Employed,73,No,856473,No,0
BFXKUSWU,Male,56,Self_Employed,116,,490888,Yes,1
O28TZ2PT,Female,26,Salaried,20,No,1175467,No,0
E5WQQBKA,Male,52,Self_Employed,92,No,569973,Yes,0
6AIJ3W3H,Female,53,Self_Employed,55,No,1583950,Yes,0
MLGTNA5P,Male,24,Salaried,15,No,965391,No,0
25GBTWNE,Male,36,Other,20,No,1128849,No,0
C7W9XRIA,Male,54,Self_Employed,27,No,605422,Yes,0
XWVYMHMY,Female,56,Self_Employed,123,,1195492,Yes,1
N7TQ3KCH,Male,43,Other,13,Yes,1203075,No,0
KG875MV5,Male,26,Salaried,26,No,1192333,Yes,1
45TIWGFK,Male,59,Self_Employed,50,No,1497273,No,0
DGSANBRC,Female,29,Salaried,26,No,615141,No,0
CUHPBKMB,Female,31,Salaried,26,No,846576,No,0
H5ZRIMFU,Female,31,Salaried,15,No,2202456,Yes,0
MUJF6T2Y,Male,33,Salaried,26,No,693016,No,0
IAV4XNG9,Female,37,Self_Employed,19,No,738237,Yes,0
JM2PCVDG,Male,30,Salaried,31,No,938914,No,0
YH2XPQAW,Female,39,Self_Employed,85,No,876899,No,0
RKBKDSHM,Female,38,Self_Employed,27,No,552075,No,0
6WMJHGH9,Male,47,Other,87,Yes,1223500,No,0
YHCCWK5C,Male,61,Self_Employed,57,No,844307,Yes,0
YUPTTPHK,Male,59,Self_Employed,27,No,2367159,Yes,0
99VNYGBJ,Female,58,Self_Employed,115,Yes,950609,Yes,1
LF3T3X7L,Female,49,Self_Employed,86,,859295,Yes,1
AZXQFDBI,Male,27,Salaried,19,No,963656,Yes,0
EEL6MZKS,Female,51,Self_Employed,43,Yes,657220,No,0
LIPZH2S4,Male,32,Salaried,13,No,473061,No,0
AJ4IWPWP,Male,29,Salaried,32,Yes,761875,No,0
JTWWLQTE,Male,57,Self_Employed,80,No,1791890,Yes,0
HSZZ4FDJ,Male,40,Self_Employed,37,No,1524845,Yes,0
FIXNGXHG,Male,56,Self_Employed,61,No,574459,Yes,0
5BV3GES6,Female,38,Salaried,13,,1690733,No,1
HNTKLOT9,Female,32,Salaried,25,Yes,471299,No,0
E4WT8DYW,Female,30,Other,26,No,415683,No,0
MW84PPXA,Female,54,Self_Employed,91,No,1438845,Yes,0
D6B4VHCO,Female,29,Salaried,20,Yes,502485,No,0
J952LX5P,Male,28,Self_Employed,19,No,622955,Yes,0
E2DR8B3F,Female,27,Salaried,27,No,777548,No,0
36ETD8OV,Male,32,Other,33,Yes,2186427,No,0
HZ5SUAKX,Male,41,Self_Employed,33,No,596033,Yes,0
FAO2WTQB,Female,27,Self_Employed,32,No,1025315,No,0
GDXHFRGP,Female,30,Salaried,33,No,1061236,No,0
JCDJRQB8,Male,46,Other,50,No,948134,No,0
HW8HSYK3,Female,74,Other,33,No,5878049,Yes,0
GDZ5GWTZ,Male,42,Self_Employed,91,No,816174,No,1
2GKAE9Z9,Male,47,Self_Employed,122,No,1134945,No,0
97UWAML4,Male,57,Salaried,74,,347393,Yes,1
AUOBQMCN,Female,82,Other,93,No,1187010,No,0
39G8WRSG,Male,53,Self_Employed,97,No,817625,Yes,0
G99FXPH4,Female,41,Self_Employed,14,No,344056,Yes,0
6JX66EZB,Male,44,Self_Employed,19,Yes,380448,Yes,1
DBHGK8S8,Female,36,Salaried,31,No,362292,Yes,1
JL6J6TCT,Female,44,Self_Employed,21,Yes,802343,Yes,0
Q4SMLNEF,Female,28,Salaried,33,No,829836,No,0
DUVRPHBA,Male,24,Other,14,No,604692,No,0
6PVV73DD,Female,59,Other,50,Yes,1597728,No,0
EQZ6XAYP,Female,30,Self_Employed,33,Yes,456516,No,0
CKFMGDUP,Male,57,Self_Employed,110,Yes,589856,Yes,1
8SYWZ46N,Male,33,Salaried,31,No,2476923,Yes,0
HYAF4HF7,Female,29,Salaried,27,No,889350,No,0
FTGZXSMW,Male,25,Salaried,25,Yes,1514895,No,1
2385YFEE,Male,28,Other,31,No,1290046,No,0
BNF8ZGD7,Male,45,Self_Employed,44,No,848445,Yes,0
MWFHEZ5B,Female,67,Other,73,No,1664807,Yes,0
6OB4KY6J,Male,33,Other,25,No,2952343,No,0
NEXRCCVK,Male,56,Self_Employed,85,No,499770,Yes,1
UTXSIR72,Male,52,Self_Employed,73,,323942,No,1
RJ6AR4YG,Male,51,Salaried,87,Yes,1083041,No,1
6QS6MLJ9,Male,34,Salaried,9,Yes,1496472,No,1
VP83GAVK,Female,51,Self_Employed,97,No,247535,Yes,0
DL88EJNT,Male,57,Self_Employed,63,Yes,5950700,No,0
COJX7JA2,Male,50,Other,45,No,2019160,Yes,1
DAKUO3PF,Male,54,Self_Employed,61,Yes,936849,No,0
HYZVTVYA,Male,61,Self_Employed,45,Yes,2601656,No,0
AYBXSLUN,Male,53,Other,45,Yes,656659,No,0
W4ORA2MV,Male,44,Self_Employed,50,No,399236,Yes,0
FRFT83JQ,Female,50,Entrepreneur,44,,2476336,No,1
7VSCS8EX,Female,47,Self_Employed,99,No,3949713,No,0
XBIZJWPC,Female,36,Salaried,25,No,1153707,No,0
5ETCKNBV,Male,47,Self_Employed,99,Yes,1595307,No,1
K4OFW4MH,Male,50,Salaried,81,,732567,No,1
DUKS89WE,Male,34,Salaried,32,No,746985,No,0
HL86W8YJ,Male,57,Other,87,,1074461,No,1
TC8CBESU,Female,29,Salaried,13,No,2048949,Yes,0
2TW8RFGF,Female,51,Self_Employed,26,Yes,1662261,Yes,0
G5FWNPOH,Female,27,Salaried,26,No,251522,No,0
CVK9B97H,Male,53,Self_Employed,74,No,758440,Yes,0
JFH9PATE,Female,50,Self_Employed,68,Yes,700047,No,1
ILWVGF8F,Male,47,Self_Employed,51,Yes,827895,No,0
PUQ8EB6V,Male,74,Other,92,No,2383571,Yes,0
KZX5BHZS,Male,61,Self_Employed,115,Yes,1609378,No,0
LDRY9RXT,Male,53,Self_Employed,15,No,478811,Yes,0
WIEGYJDQ,Male,54,Other,73,Yes,676177,No,1
MK7NGQX4,Female,42,Self_Employed,51,No,568309,No,0
L4SKGEQG,Female,31,Salaried,15,No,503971,No,0
BEPUKMR8,Female,51,Entrepreneur,57,Yes,1102051,Yes,1
NDCALHUR,Male,27,Salaried,19,No,728073,No,0
9JIJ7Z7K,Female,60,Self_Employed,92,Yes,857417,No,1
QGZ8CFGY,Male,46,Self_Employed,87,Yes,489144,No,1
HBCV5QT8,Female,28,Salaried,27,No,3123134,No,0
GRPXJJM9,Female,28,Salaried,31,Yes,668879,No,0
TTL6JNNF,Male,31,Other,20,No,1776306,Yes,0
HJDGHZ7I,Female,30,Other,25,No,1230629,No,0
KLVRETES,Male,46,Self_Employed,37,,922280,Yes,1
Q2ACWEVY,Male,31,Other,26,No,300081,No,0
VJMIRWEK,Female,76,Other,19,No,771149,No,0
F5PBMGG7,Female,31,Salaried,14,No,575910,No,0
IMSGGWDR,Male,29,Salaried,14,No,1032836,Yes,0
HYJB6TUU,Female,67,Other,98,No,1273314,Yes,0
YDEEGOHO,Male,63,Other,15,No,803340,No,0
HT5KWDGQ,Male,55,Other,61,No,1071364,No,0
AYNJRUBF,Male,73,Other,85,No,438084,Yes,0
NH62X5ER,Male,46,Self_Employed,21,No,2113385,Yes,0
KXE6JQ7V,Male,27,Other,25,No,237069,Yes,0
GDH3WGSN,Male,47,Self_Employed,99,Yes,557540,Yes,0
5FJMOUTA,Male,27,Salaried,13,No,1158237,No,0
O3NJJLJP,Male,43,Self_Employed,75,No,943266,No,0
JIVKZAX7,Male,48,Self_Employed,92,Yes,815738,No,0
YLYYWAUC,Male,27,Other,20,No,784401,Yes,0
4OEWDKYJ,Male,27,Salaried,20,No,292543,No,0
GEOUFPTZ,Female,36,Self_Employed,39,No,795597,Yes,0
HJFEIUAE,Female,62,Other,69,Yes,2729727,Yes,1
5FQ5SWM9,Male,48,Self_Employed,85,No,623364,Yes,1
W9KHEEOJ,Female,29,Salaried,26,No,1956682,No,0
SD5KZ8PG,Female,53,Self_Employed,116,Yes,2555270,Yes,1
UCSQPRBU,Male,39,Other,73,No,266279,No,0
VY9SCKTH,Male,27,Salaried,15,No,1213888,Yes,0
FSTYAUFT,Male,53,Self_Employed,15,No,256747,Yes,0
WZWFJWZL,Female,28,Other,20,No,1006687,Yes,0
BSQ3H8PN,Female,81,Other,56,No,298185,Yes,0
VGPQTXPD,Female,25,Salaried,15,No,3850567,No,0
74CO7464,Male,64,Other,109,,475509,Yes,1
AJTWDF2N,Female,38,Self_Employed,73,No,958271,Yes,0
7HWEQT58,Male,47,Self_Employed,20,Yes,500331,No,0
NC43MWQX,Female,41,Self_Employed,31,No,535575,Yes,0
DBQENEZA,Male,27,Self_Employed,15,Yes,819218,No,0
YEJ3FOPT,Male,42,Salaried,121,Yes,2944493,Yes,1
MZEBQQXH,Female,47,Self_Employed,50,No,578882,No,0
BVEPBTCE,Male,40,Other,13,Yes,419279,No,0
OAPGCMXZ,Female,31,Salaried,32,No,1514326,No,1
5SZQJO4P,Male,61,Self_Employed,99,,268192,No,0
TH6DYCJV,Male,44,Self_Employed,91,,769529,No,0
ZJ5WN2VJ,Male,29,Salaried,26,No,1336388,Yes,0
JZUPH3WC,Male,32,Salaried,27,Yes,459569,Yes,0
MYCX6AG3,Male,65,Other,116,Yes,1252826,No,1
Q9GRWVER,Female,71,Other,73,No,1940467,Yes,1
WQZW6YT4,Male,28,Other,26,No,1955054,No,0
FK8XWMPD,Male,56,Salaried,15,,908547,No,1
ZNGNIIJX,Male,53,Entrepreneur,80,Yes,867465,No,0
JYPUOUZO,Female,51,Self_Employed,19,,651257,Yes,1
TTTVGAHM,Male,56,Self_Employed,57,Yes,935372,No,0
JBJQ5G2Q,Male,42,Self_Employed,63,No,757149,No,0
CFGNR6D3,Male,31,Salaried,26,No,823303,No,0
N8LYBWVA,Male,36,Salaried,26,Yes,1122913,No,1
PF3YGWSQ,Male,43,Self_Employed,20,No,814447,No,1
RXFWVVBU,Female,70,Other,33,No,656837,No,0
MB3UNU3C,Female,31,Salaried,19,No,631063,Yes,0
6QOGPKXC,Female,27,Salaried,15,Yes,1745049,No,0
MWRKYCCD,Male,64,Other,39,No,602352,Yes,0
RNOIPDDY,Male,52,Entrepreneur,116,,967465,No,1
MBQDE9XV,Female,43,Other,15,Yes,688361,Yes,1
X2PDFEK4,Male,25,Salaried,13,Yes,469234,No,0
KWPIJSJG,Male,79,Other,86,Yes,646326,No,0
7GWBT2JF,Female,27,Salaried,21,No,2933466,No,0
BTASVN5N,Male,68,Other,21,Yes,723205,No,0
HJN6OG6T,Female,26,Salaried,19,No,305999,Yes,0
52BZDZBQ,Male,39,Other,32,No,1637244,No,0
PRCJKLHN,Male,29,Other,26,No,714322,Yes,0
NYR9E7J7,Male,46,Self_Employed,81,,3831583,No,0
NLJ6QQGZ,Male,50,Entrepreneur,91,,1371018,No,1
HF8PJ5SZ,Female,47,Self_Employed,49,Yes,1553076,No,0
JCGRLBBV,Male,40,Self_Employed,25,Yes,490799,No,1
MDHCOHXE,Female,38,Self_Employed,43,Yes,1956495,Yes,0
UROOAPHF,Male,50,Other,25,No,1225975,No,0
2RBDBEJR,Female,28,Other,14,Yes,1327604,No,0
HJJBHWDF,Male,58,Self_Employed,38,No,437630,No,0
WG5GD3XE,Male,36,Salaried,33,No,431917,No,0
IKUFVCWZ,Male,52,Self_Employed,116,No,1518900,Yes,0
KPQRHQ9S,Female,29,Salaried,21,No,1432659,No,0
CNHC5U4Y,Female,45,Other,27,No,779675,No,0
4VTSQTDR,Male,41,Salaried,38,Yes,1750300,Yes,1
NKDAJSAW,Female,33,Salaried,13,No,886813,No,0
C24LJT3V,Male,38,Other,50,No,454514,No,0
M4RGYZ2N,Male,39,Salaried,19,Yes,1059456,No,0
46C8U62O,Male,48,Self_Employed,44,Yes,864287,No,0
ENKG9VIA,Male,27,Other,26,No,821327,No,0
EHM32XKA,Female,26,Salaried,14,No,703918,No,0
CFKJ6PYQ,Male,27,Salaried,19,Yes,428677,No,0
BTOLGHJ9,Female,42,Self_Employed,62,Yes,773899,No,0
J93HJSIZ,Male,49,Self_Employed,25,Yes,576711,Yes,1
24TWNPYJ,Male,45,Self_Employed,32,No,3540669,Yes,0
ADHB8BVF,Female,30,Salaried,15,No,460325,No,1
Y3JPBEWC,Male,27,Salaried,15,No,404318,Yes,0
MEJ4KPWV,Male,49,Self_Employed,50,No,1057880,Yes,0
FFGTOJSK,Female,59,Self_Employed,61,No,894957,No,0
BVS6GNHN,Female,61,Self_Employed,105,No,591458,Yes,0
BAPGQAAR,Female,29,Salaried,19,No,760549,Yes,0
DG4VKAB6,Female,45,Other,32,Yes,1015338,No,0
CZA6IGYC,Male,30,Other,32,No,666013,No,0
HGZDWMJA,Female,56,Self_Employed,55,No,1031679,Yes,0
QFHD9K8E,Male,61,Self_Employed,44,,1440901,No,1
WBTUCHAI,Male,69,Other,81,Yes,1177069,Yes,0
6WQ2VRNL,Male,56,Self_Employed,13,,1244487,No,1
QSMCFI8Z,Male,29,Salaried,26,No,1260418,Yes,0
RELRUMMG,Male,40,Self_Employed,15,Yes,2206167,No,0
MKMDJHIT,Male,26,Salaried,19,No,1081198,No,0
LAAFATL8,Male,43,Self_Employed,38,No,870099,Yes,0
RYKQGCLI,Male,47,Self_Employed,103,,1259430,No,1
F62FU6DQ,Male,53,Salaried,97,Yes,807141,Yes,1
Q72UYPFD,Male,46,Salaried,63,,946212,No,1
G3HJQRXB,Female,28,Other,20,No,646611,No,0
SINZYXCE,Male,43,Self_Employed,20,Yes,1048464,Yes,1
DYFKEWMD,Male,70,Other,68,Yes,1876360,Yes,0
HZNDNUKB,Female,45,Self_Employed,31,Yes,245729,No,0
8ZMGEF76,Male,32,Self_Employed,44,No,1183806,No,0
NWZCSWRI,Female,27,Salaried,27,Yes,726284,No,0
W256G9AX,Female,26,Salaried,15,No,1279793,Yes,0
WOEJVBMC,Female,51,Self_Employed,81,No,1663178,No,0
CXNM7PZE,Female,57,Self_Employed,97,No,1180220,No,1
RRHKIXFD,Female,31,Salaried,19,No,778055,No,0
7RXTRDWS,Male,41,Self_Employed,49,,1001036,No,0
M7SZ7HFQ,Female,50,Self_Employed,109,,807434,Yes,1
6TSWW7J2,Male,45,Self_Employed,33,No,1085924,Yes,0
GCY8FWQY,Male,50,Entrepreneur,98,,1765920,Yes,1
7D9UJIVE,Male,30,Salaried,31,No,522590,No,0
MVQMEAVR,Female,38,Self_Employed,32,Yes,985577,Yes,0
SAYG7E3A,Male,65,Other,21,No,1507054,No,0
CT55ZKCD,Female,45,Other,68,No,1745236,Yes,0
YDA8FZIU,Male,81,Other,49,No,2066971,Yes,0
EJUBTYBC,Male,55,Self_Employed,31,No,843728,Yes,0
9GFWWB8N,Female,46,Self_Employed,73,Yes,1958133,No,1
VSMSRMD8,Female,29,Salaried,27,Yes,1229748,No,1
UK2V6R8A,Female,51,Self_Employed,116,No,1637368,Yes,1
DDWUT5CZ,Male,29,Salaried,33,No,1808115,No,0
AR5JKEKV,Female,37,Self_Employed,25,No,878955,Yes,0
P83BBCFT,Male,27,Salaried,15,No,1477124,No,0
OFGKHOKN,Male,54,Self_Employed,62,No,682941,Yes,0
BEUG82M9,Male,43,Self_Employed,74,No,1830970,No,1
EAZFSSDQ,Female,31,Salaried,20,No,834891,No,0
BHYV83H9,Female,28,Salaried,19,No,468905,Yes,0
IIIGEV5Z,Male,60,Other,79,,776097,No,1
T7MZTLDL,Male,75,Other,109,No,2107306,No,1
84JD9HS2,Male,30,Other,13,No,562257,No,0
JEUQMQXU,Male,32,Self_Employed,26,No,1088354,Yes,0
3N3YKLVB,Male,64,Other,92,Yes,1139582,No,0
H68HREE6,Female,49,Self_Employed,92,,2561687,No,1
FIMBVUFK,Male,31,Salaried,15,No,545828,No,0
BZ6VYNOT,Female,28,Salaried,19,No,271966,No,0
SXNDPIYC,Female,49,Other,91,,493958,No,1
KPYIRDMW,Female,34,Other,31,Yes,895945,No,0
6GV7UBKK,Female,56,Self_Employed,104,No,1588000,No,0
TP7RSJMU,Female,26,Salaried,13,No,618487,No,0
K4VACQQR,Female,30,Salaried,20,No,423960,No,0
ENSW2L7Y,Male,30,Salaried,19,Yes,1140143,No,0
JXEHUL4B,Male,30,Salaried,32,No,405172,No,0
O43CMHTT,Male,55,Self_Employed,51,No,668265,No,0
FISW7YB9,Female,65,Other,26,No,1373474,Yes,0
WUWVSIH3,Male,31,Salaried,32,No,524904,No,1
MSVVNG3P,Male,26,Salaried,27,No,565274,No,0
M26HYHGH,Female,63,Other,74,No,1123989,No,0
JV2IAUNT,Male,29,Self_Employed,19,No,2872448,No,0
UXWKJDUM,Female,28,Salaried,33,No,934144,No,0
BGUR4IZI,Male,34,Salaried,14,Yes,413574,No,1
KLZQV9JD,Female,29,Salaried,14,No,752014,No,0
EEBQJQSJ,Male,44,Self_Employed,80,Yes,1267911,No,1
RGGUDVWV,Male,47,Other,19,,314125,Yes,1
DR4WMTT9,Female,32,Salaried,32,No,695686,Yes,0
TVDG77QQ,Female,28,Salaried,20,No,561029,No,0
QZIH8PUU,Female,49,Entrepreneur,43,Yes,1770263,Yes,1
ECPFBT6X,Female,28,Salaried,13,No,917857,Yes,0
B3SZXEA3,Male,85,Other,115,Yes,891513,No,0
JNBVBAHJ,Male,28,Salaried,20,No,570570,No,0
3UZH5WHW,Male,31,Salaried,15,No,1130228,No,0
N8GDBLK8,Female,27,Salaried,13,No,378321,No,0
NNLEFDDR,Male,45,Self_Employed,87,,972351,Yes,1
EEBMBBDY,Female,28,Other,13,Yes,3800193,No,0
NW9NUJDS,Female,66,Other,87,Yes,3051160,Yes,0
FXM47JQV,Female,49,Self_Employed,91,No,613948,Yes,0
J2GK8FVE,Female,40,Self_Employed,56,No,1318677,No,0
3WX9QJ2X,Male,42,Other,14,No,653811,Yes,0
FZTCYCC9,Female,51,Self_Employed,121,No,506383,No,0
GYZ8CAK3,Male,31,Other,14,No,465087,No,0
ZRIXPDBC,Male,33,Salaried,14,Yes,174190,No,1
UYJIMKAR,Male,51,Self_Employed,39,Yes,411544,Yes,0
D9MWPVGG,Female,39,Self_Employed,93,No,276896,No,1
CKCKQUVK,Male,27,Salaried,27,Yes,557611,No,0
DUDGSTWK,Male,31,Salaried,32,No,1199809,No,0
8DCMRMAZ,Female,43,Other,33,No,1049140,No,0
LXY7KNVJ,Male,48,Self_Employed,43,Yes,3278386,No,0
26QY7JID,Female,50,Self_Employed,105,Yes,2469376,Yes,0
J8KBGLTX,Female,27,Salaried,20,Yes,739821,No,0
